command started at 2026-03-09 04:32:43+00:00, finished at 2026-03-09 04:32:53+00:00 with exitcode=0
LAST SEEN   TYPE      REASON      OBJECT                                     MESSAGE
11m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-25pr6   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-25pr6 to aks-heavy-22317745-vmss000002
11m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-25pr6   Pulling image "ghcr.io/actions/actions-runner:latest"
11m         Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-25pr6   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 77ms (77ms including waiting). Image size: 540108575 bytes.
11m         Normal    Created     pod/arc-heavy-runners-mlqbj-runner-25pr6   Created container: runner
11m         Normal    Started     pod/arc-heavy-runners-mlqbj-runner-25pr6   Started container runner
52m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-25pwm   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-25pwm to aks-heavy-22317745-vmss000002
52m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-25pwm   Pulling image "ghcr.io/actions/actions-runner:latest"
53m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-25tdx   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-25tdx to aks-heavy-22317745-vmss000002
53m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-25tdx   Pulling image "ghcr.io/actions/actions-runner:latest"
20m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-25tl6   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-25tl6 to aks-heavy-22317745-vmss000002
20m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-25tl6   Pulling image "ghcr.io/actions/actions-runner:latest"
20m         Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-25tl6   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 130ms (130ms including waiting). Image size: 540108575 bytes.
20m         Normal    Started     pod/arc-heavy-runners-mlqbj-runner-25tl6   Started container runner
22m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-25v5p   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-25v5p to aks-heavy-22317745-vmss000002
22m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-25v5p   Pulling image "ghcr.io/actions/actions-runner:latest"
10m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-25vpr   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-25vpr to aks-heavy-22317745-vmss000002
10m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-25vpr   Pulling image "ghcr.io/actions/actions-runner:latest"
10m         Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-25vpr   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 128ms (128ms including waiting). Image size: 540108575 bytes.
10m         Normal    Created     pod/arc-heavy-runners-mlqbj-runner-25vpr   Created container: runner
13m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-262rs   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-262rs to aks-heavy-22317745-vmss000002
13m         Normal    Pulling     pod/arc-heavy-runners-mlqbj-runner-262rs   Pulling image "ghcr.io/actions/actions-runner:latest"
13m         Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-262rs   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 78ms (78ms including waiting). Image size: 540108575 bytes.
13m         Normal    Created     pod/arc-heavy-runners-mlqbj-runner-262rs   Created container: runner
47m         Normal    Scheduled   pod/arc-heavy-runners-mlqbj-runner-264lp   Successfully assigned arc-runners/arc-heavy-runners-mlqbj-runner-264lp to aks-heavy-22317745-vmss000002
47m         Normal    Pulled      pod/arc-heavy-runners-mlqbj-runner-264lp   Successfully pulled image "ghcr.io/actions/actions-runner:latest" in 126ms (126ms including waiting). Image size: 540108575 bytes.
